"",2012,"9,690",3.55,"34,400",Ton,"1,040.00","35,776,000"
Oranges - Navels,2013,"76,700",15.50,"1,028,000",Ton,666.00,"684,648,000"
"",2012,"76,100",13.20,"753,000",Ton,698.00,"525,594,000"
"- Processed",2013,X,X,"164,000",Ton,75.00,"12,300,000"
"",2012,X,X,"251,000",Ton,75.00,"18,825,000"
Oranges - Valencia,2013,"16,600",17.40,"241,000",Ton,624.00,"150,384,000"
"",2012,"17,000",14.90,"152,000",Ton,634.00,"96,368,000"
"- Processed",2013,X,X,"47,800",Ton,154.00,"7,361,000"
"",2012,X,X,"101,000",Ton,140.00,"14,140,000"
Peaches - Cling,2013,"1,310",12.20,"16,000",Ton,350.00,"5,600,000"
"",2012,"1,150",13.70,"15,800",Ton,317.00,"5,009,000"
Peaches - Freestone,2013,"12,200",11.00,"96,300",Ton,"1,290.00","124,227,000"
"",2012,"11,300",11.80,"99,800",Ton,"1,320.00","131,736,000"
"- Processed",2013,X,X,"38,400",Ton,297.00,"11,405,000"
"",2012,X,X,"33,300",Ton,287.00,"9,557,000"
Pears & Asian Pears,2013,199,11.80,"2,350",Ton,"2,980.00","7,003,000"
"",2012,172,6.06,"1,040",Ton,"2,670.00","2,777,000"
Pecans,2013,856,0.77,659,Ton,"3,770.00","2,484,000"
"",2012,398,1.25,498,Ton,"3,500.00","1,743,000"
Persimmons,2013,"2,430",9.08,"22,100",Ton,"1,150.00","25,415,000"
"",2012,891,4.75,"4,230",Ton,"1,410.00","5,964,000"
Pistachio Nuts,2013,"41,300",1.33,"54,900",Ton,"4,940.00","271,206,000"
"",2012,"30,000",1.60,"48,000",Ton,"4,040.00","193,920,000"
Plums & Pluots,2013,"10,400",9.97,"104,000",Ton,953.00,"99,112,000"
"",2012,"10,100",9.26,"93,500",Ton,"1,140.00","106,590,000"
Pomegranates,2013,"4,220",0.84,"3,540",Ton,"1,120.00","3,965,000"
"",2012,"4,740",7.03,"33,300",Ton,"1,280.00","42,624,000"
Prunes - Dried Plums e,2013,"3,450",5.38,"18,600",Ton,"1,580.00","29,388,000"
"",2012,"3,080",3.02,"9,300",Ton,"1,250.00","11,625,000"
Quince,2013,128,8.18,"1,050",Ton,"1,860.00","1,953,000"
"",2012,80,2.56,205,Ton,"2,140.00","439,000"
Tangerines f,2013,"13,800",5.00,"69,000",Ton,"1,820.00","125,580,000"
"",2012,"15,400",6.03,"92,900",Ton,"1,510.00","140,279,000"
Walnuts,2013,"36,500",1.86,"67,900",Ton,"3,860.00","262,094,000"
"",2012,"28,900",2.02,"58,400",Ton,"3,170.00","185,128,000"
Miscellaneous g,2013,734,X,X,X,X,"13,438,000"
"",2012,945,X,X,X,X,"13,753,000"
TOTAL,2013,"360,974",,,,,"4,053,422,000"
"",2012,"321,154",,,,,"2,835,406,000"
